timestamp,gyroscopeX,gyroscopeY,gyroscopeZ,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,kinematicsX,kinematicsY,kinematicsZ
1402239100015,-2.1951219512195124,-0.24390243902439027,-0.24390243902439027,0.00390625,0.017578125,1.0234375,0,0,0,0.9,-0.2,31
1402239100028,4.634146341463415,-0.24390243902439027,0.48780487804878053,0.01171875,-0.017578125,1.0078125,0,0,0,-1.1,-0.5,34
1402239100038,5.121951219512195,-0.48780487804878053,0,0.01171875,-0.017578125,1.005859375,0,0,0,-1.1,-0.6,34
1402239100049,5.365853658536586,-0.48780487804878053,-0.48780487804878053,0.01171875,-0.013671875,1.001953125,0,0,0,-1,-0.6,34
1402239100060,5.365853658536586,-0.48780487804878053,-0.9756097560975611,0.009765625,-0.01171875,1,0,0,0,-1,-0.6,34
1402239100071,5.609756097560976,-0.24390243902439027,-1.4634146341463417,0.01171875,-0.009765625,1.001953125,0,0,0,-0.9,-0.6,34
1402239100082,5.609756097560976,-0.24390243902439027,-2.1951219512195124,0.013671875,-0.005859375,1.00390625,0,0,0,-0.8,-0.6,34
1402239100092,5.365853658536586,0,-2.682926829268293,0.015625,-0.001953125,1.0078125,0,0,0,-0.8,-0.6,34
1402239100103,5.121951219512195,0.24390243902439027,-2.9268292682926833,0.017578125,0,1.009765625,0,0,0,-0.7,-0.6,34
1402239100115,4.634146341463415,0.24390243902439027,-3.1707317073170733,0.017578125,0,1.009765625,0,0,0,-0.7,-0.6,34
1402239100126,3.658536585365854,0.48780487804878053,-3.658536585365854,0.01171875,0,1.0078125,0,0,0,-0.6,-0.6,34
1402239100137,2.682926829268293,0.48780487804878053,-3.658536585365854,0.009765625,0,1.0078125,0,0,0,-0.6,-0.6,34
1402239100147,1.2195121951219514,0.7317073170731708,-3.658536585365854,0.009765625,0,1.009765625,0,0,0,-0.5,-0.6,34
1402239100158,0,0.7317073170731708,-3.658536585365854,0.013671875,-0.001953125,1.013671875,0,0,0,-0.5,-0.6,34
1402239100170,-1.2195121951219514,0.48780487804878053,-3.414634146341464,0.017578125,-0.001953125,1.013671875,0,0,0,-0.5,-0.6,34
1402239100181,-2.1951219512195124,0,-2.9268292682926833,0.017578125,-0.005859375,1.013671875,0,0,0,-0.6,-0.6,34
1402239100192,-2.9268292682926833,-0.48780487804878053,-2.682926829268293,0.013671875,-0.005859375,1.0078125,0,0,0,-0.6,-0.6,34
1402239100203,-3.414634146341464,-1.2195121951219514,-2.1951219512195124,0.009765625,-0.0078125,1.00390625,0,0,0,-0.6,-0.6,34
1402239100214,-3.658536585365854,-1.9512195121951221,-1.9512195121951221,0.0078125,-0.009765625,1,0,0,0,-0.7,-0.6,34
1402239100225,-3.1707317073170733,-2.682926829268293,-1.707317073170732,0.005859375,-0.009765625,0.9921875,0,0,0,-0.7,-0.6,34
1402239100236,-2.682926829268293,-3.1707317073170733,-1.4634146341463417,0.001953125,-0.0078125,0.9921875,0,0,0,-0.7,-0.6,34
1402239100247,-2.1951219512195124,-3.414634146341464,-1.4634146341463417,0,-0.01171875,0.98828125,0,0,0,-0.8,-0.7,34
1402239100258,-1.4634146341463417,-3.414634146341464,-1.4634146341463417,0,-0.015625,0.990234375,0,0,0,-0.8,-0.7,34
1402239100269,-0.9756097560975611,-3.414634146341464,-1.4634146341463417,0,-0.013671875,0.9921875,0,0,0,-0.8,-0.7,34
1402239100280,0,-3.1707317073170733,-1.4634146341463417,0.001953125,-0.013671875,0.9921875,0,0,0,-0.8,-0.8,34
1402239100291,0.48780487804878053,-3.1707317073170733,-1.4634146341463417,0.001953125,-0.013671875,0.986328125,0,0,0,-0.8,-0.8,34
1402239100302,1.707317073170732,-2.682926829268293,-1.707317073170732,0.005859375,-0.01171875,0.982421875,0,0,0,-0.8,-0.8,34
1402239100313,2.682926829268293,-2.439024390243903,-1.9512195121951221,0.009765625,-0.0078125,0.98046875,0,0,0,-0.7,-0.9,34
1402239100324,3.414634146341464,-2.1951219512195124,-2.1951219512195124,0.01171875,-0.00390625,0.982421875,0,0,0,-0.7,-0.9,34
1402239100335,4.146341463414634,-1.2195121951219514,-2.439024390243903,0.013671875,-0.001953125,0.984375,0,0,0,-0.7,-0.9,34
1402239100346,4.634146341463415,-0.48780487804878053,-2.682926829268293,0.015625,0,0.986328125,0,0,0,-0.6,-0.9,34
1402239100357,4.634146341463415,0.24390243902439027,-2.9268292682926833,0.015625,0.001953125,0.98828125,0,0,0,-0.5,-0.9,35
1402239100368,4.390243902439025,1.2195121951219514,-2.9268292682926833,0.017578125,0.005859375,0.994140625,0,0,0,-0.5,-0.9,35
1402239100378,3.9024390243902443,2.1951219512195124,-2.9268292682926833,0.01953125,0.005859375,0.99609375,0,0,0,-0.5,-0.9,35
1402239100390,3.658536585365854,2.9268292682926833,-2.9268292682926833,0.0234375,0.009765625,0.998046875,0,0,0,-0.4,-0.9,35
1402239100401,2.682926829268293,3.9024390243902443,-2.9268292682926833,0.0234375,0.013671875,1.00390625,0,0,0,-0.4,-0.8,35
1402239100412,2.1951219512195124,4.390243902439025,-2.682926829268293,0.01953125,0.015625,1.00390625,0,0,0,-0.3,-0.8,35
1402239100423,1.2195121951219514,4.878048780487806,-2.1951219512195124,0.013671875,0.013671875,1.00390625,0,0,0,-0.3,-0.7,35
1402239100434,0.48780487804878053,5.121951219512195,-1.707317073170732,0.01171875,0.013671875,1,0,0,0,-0.3,-0.7,35
1402239100445,-0.48780487804878053,4.878048780487806,-1.2195121951219514,0.01171875,0.009765625,1.001953125,0,0,0,-0.3,-0.6,35
1402239100456,-1.2195121951219514,4.390243902439025,-0.7317073170731708,0.01171875,0.01171875,1.005859375,0,0,0,-0.3,-0.6,35
1402239100467,-1.9512195121951221,3.9024390243902443,-0.24390243902439027,0.01171875,0.009765625,1.005859375,0,0,0,-0.3,-0.5,35
1402239100478,-2.682926829268293,3.1707317073170733,0.24390243902439027,0.005859375,0.0078125,1.0078125,0,0,0,-0.3,-0.5,35
1402239100489,-3.1707317073170733,2.682926829268293,0.7317073170731708,0,0.00390625,1.005859375,0,0,0,-0.3,-0.5,35
1402239100500,-3.9024390243902443,2.1951219512195124,0.9756097560975611,-0.009765625,0,1.005859375,0,0,0,-0.4,-0.4,35
1402239100510,-4.390243902439025,1.707317073170732,1.4634146341463417,-0.013671875,-0.001953125,1.0078125,0,0,0,-0.4,-0.4,35
1402239100521,-4.634146341463415,1.4634146341463417,1.4634146341463417,-0.013671875,-0.00390625,1.009765625,0,0,0,-0.5,-0.4,35
1402239100532,-4.634146341463415,0.9756097560975611,1.707317073170732,-0.013671875,-0.0078125,1.01171875,0,0,0,-0.5,-0.4,35
1402239100544,-4.146341463414634,0.24390243902439027,1.9512195121951221,-0.01171875,-0.0078125,1.013671875,0,0,0,-0.6,-0.3,35
1402239100555,-3.658536585365854,-0.24390243902439027,1.707317073170732,-0.01171875,-0.00390625,1.01171875,0,0,0,-0.6,-0.3,35
1402239100565,-2.439024390243903,-0.9756097560975611,1.4634146341463417,-0.01171875,-0.001953125,1.01171875,0,0,0,-0.6,-0.3,35
1402239100576,-1.4634146341463417,-1.707317073170732,0.9756097560975611,-0.009765625,-0.005859375,1.009765625,0,0,0,-0.7,-0.3,35
1402239100587,-0.7317073170731708,-2.1951219512195124,0.7317073170731708,-0.0078125,-0.005859375,1.009765625,0,0,0,-0.7,-0.4,35
1402239100598,0,-2.439024390243903,0.24390243902439027,-0.00390625,-0.0078125,1.009765625,0,0,0,-0.7,-0.4,35
1402239100609,0.7317073170731708,-2.439024390243903,0,-0.005859375,-0.009765625,1.005859375,0,0,0,-0.7,-0.4,35
1402239100620,0.9756097560975611,-2.1951219512195124,-0.48780487804878053,-0.005859375,-0.01171875,1,0,0,0,-0.6,-0.4,35
1402239100631,1.707317073170732,-1.9512195121951221,-1.2195121951219514,-0.009765625,-0.0078125,0.994140625,0,0,0,-0.6,-0.4,35
1402239100642,1.707317073170732,-1.4634146341463417,-1.707317073170732,-0.009765625,-0.009765625,0.990234375,0,0,0,-0.6,-0.4,35
1402239100653,1.9512195121951221,-1.2195121951219514,-1.9512195121951221,-0.01171875,-0.01171875,0.98828125,0,0,0,-0.6,-0.5,35
1402239100664,1.9512195121951221,-0.7317073170731708,-2.439024390243903,-0.0078125,-0.009765625,0.9921875,0,0,0,-0.6,-0.5,35
1402239100675,1.9512195121951221,-0.48780487804878053,-2.682926829268293,-0.001953125,-0.005859375,0.98828125,0,0,0,-0.5,-0.5,35
1402239100686,1.707317073170732,-0.48780487804878053,-2.682926829268293,0,-0.00390625,0.984375,0,0,0,-0.5,-0.5,35
1402239100697,1.4634146341463417,-0.48780487804878053,-2.9268292682926833,-0.001953125,-0.001953125,0.98046875,0,0,0,-0.5,-0.5,35
1402239100708,0.7317073170731708,-0.48780487804878053,-2.9268292682926833,0,-0.001953125,0.98046875,0,0,0,-0.5,-0.5,35
