timestamp,gyroscopeX,gyroscopeY,gyroscopeZ,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,kinematicsX,kinematicsY,kinematicsZ
1402239031861,0,0,0,0,0,0,0,0,0,-5.5,4.2,2
1402239031874,0,0,-0.24390243902439027,-0.07421875,-0.095703125,1.00390625,0,0,0,-5.5,4.2,2
1402239031886,0,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.095703125,1.00390625,0,0,0,-5.5,4.1,7
1402239031896,0,0,-0.24390243902439027,-0.076171875,-0.095703125,1.00390625,0,0,0,-5.5,4.1,7
1402239031907,0,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.09765625,1.001953125,0,0,0,-5.5,4.1,7
1402239031918,0,0,-0.24390243902439027,-0.076171875,-0.095703125,1.001953125,0,0,0,-5.5,4.1,7
1402239031929,0,0,-0.24390243902439027,-0.076171875,-0.095703125,1.001953125,0,0,0,-5.5,4.1,7
1402239031939,0,0,-0.24390243902439027,-0.07421875,-0.095703125,1.001953125,0,0,0,-5.5,4.1,7
1402239031951,0,-0.24390243902439027,-0.24390243902439027,-0.07421875,-0.09765625,1.00390625,0,0,0,-5.5,4.1,7
1402239031962,0,0,-0.24390243902439027,-0.07421875,-0.095703125,1.001953125,0,0,0,-5.5,4.1,7
1402239031973,0,-0.24390243902439027,-0.24390243902439027,-0.07421875,-0.095703125,1.001953125,0,0,0,-5.5,4.1,7
1402239031984,0,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.095703125,1.00390625,0,0,0,-5.5,4.1,7
1402239031995,0,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.095703125,1.00390625,0,0,0,-5.5,4.1,7
1402239032006,0,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.095703125,1.00390625,0,0,0,-5.5,4.1,7
1402239032017,0,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.09375,1.001953125,0,0,0,-5.5,4.1,7
1402239032028,0,0,-0.24390243902439027,-0.076171875,-0.09375,1,0,0,0,-5.5,4.1,7
1402239032039,0,-0.24390243902439027,-0.24390243902439027,-0.07421875,-0.09375,1.001953125,0,0,0,-5.5,4.1,7
1402239032050,0,-0.24390243902439027,-0.24390243902439027,-0.07421875,-0.095703125,1.001953125,0,0,0,-5.5,4.1,7
1402239032061,0,0,-0.24390243902439027,-0.07421875,-0.09375,1.00390625,0,0,0,-5.5,4.1,7
1402239032071,0,-0.24390243902439027,-0.24390243902439027,-0.07421875,-0.09375,1.00390625,0,0,0,-5.5,4.1,7
1402239032083,0,0,-0.24390243902439027,-0.076171875,-0.095703125,1.001953125,0,0,0,-5.5,4.1,7
1402239032094,0,-0.24390243902439027,-0.24390243902439027,-0.07421875,-0.09375,1.001953125,0,0,0,-5.5,4.1,7
1402239032105,0,-0.24390243902439027,-0.24390243902439027,-0.07421875,-0.09375,1.001953125,0,0,0,-5.5,4.1,7
1402239032116,0,-0.24390243902439027,-0.24390243902439027,-0.072265625,-0.095703125,1.00390625,0,0,0,-5.5,4.1,7
1402239032127,0,-0.24390243902439027,-0.24390243902439027,-0.07421875,-0.095703125,1.00390625,0,0,0,-5.5,4.1,7
1402239032138,0,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.09375,1.001953125,0,0,0,-5.5,4.1,7
1402239032149,0,-0.24390243902439027,-0.24390243902439027,-0.078125,-0.09375,1.00390625,0,0,0,-5.5,4.1,7
1402239032160,0,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.09375,1.001953125,0,0,0,-5.5,4.1,7
1402239032171,0,0,-0.24390243902439027,-0.076171875,-0.095703125,1.005859375,0,0,0,-5.5,4.1,7
1402239032182,0,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.09765625,1.00390625,0,0,0,-5.5,4.1,7
1402239032194,0,-0.24390243902439027,-0.24390243902439027,-0.07421875,-0.095703125,1.00390625,0,0,0,-5.5,4.1,7
1402239032204,0,-0.24390243902439027,-0.24390243902439027,-0.07421875,-0.095703125,1.00390625,0,0,0,-5.5,4.1,7
1402239032215,0,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.09375,1.00390625,0,0,0,-5.5,4.1,7
1402239032226,0,0,-0.24390243902439027,-0.076171875,-0.095703125,1.001953125,0,0,0,-5.5,4.1,7
1402239032237,0,0,-0.24390243902439027,-0.076171875,-0.095703125,1.00390625,0,0,0,-5.5,4.1,7
1402239032249,0,-0.24390243902439027,-0.24390243902439027,-0.07421875,-0.09375,1.00390625,0,0,0,-5.5,4.1,7
1402239032259,0,-0.24390243902439027,-0.24390243902439027,-0.07421875,-0.095703125,1.001953125,0,0,0,-5.5,4.1,7
1402239032270,0,0,-0.24390243902439027,-0.07421875,-0.095703125,1.001953125,0,0,0,-5.5,4.1,7
1402239032281,0,0,-0.24390243902439027,-0.07421875,-0.095703125,1.001953125,0,0,0,-5.5,4.1,7
1402239032293,0,-0.24390243902439027,-0.24390243902439027,-0.07421875,-0.095703125,1.00390625,0,0,0,-5.5,4.1,7
1402239032304,0,-0.24390243902439027,-0.24390243902439027,-0.07421875,-0.09375,1.001953125,0,0,0,-5.5,4.1,7
1402239032315,0,0,-0.24390243902439027,-0.076171875,-0.09375,1.00390625,0,0,0,-5.5,4.1,7
1402239032327,0,0,-0.24390243902439027,-0.076171875,-0.09375,1.005859375,0,0,0,-5.5,4.1,7
1402239032338,0,0,-0.24390243902439027,-0.07421875,-0.095703125,1.001953125,0,0,0,-5.5,4.1,7
1402239032349,0,0,-0.24390243902439027,-0.076171875,-0.095703125,1.001953125,0,0,0,-5.5,4.1,7
1402239032359,0,0,-0.24390243902439027,-0.07421875,-0.095703125,1.001953125,0,0,0,-5.5,4.1,7
1402239032370,0,0,-0.24390243902439027,-0.07421875,-0.09765625,1.001953125,0,0,0,-5.5,4.1,7
1402239032381,0,-0.24390243902439027,-0.24390243902439027,-0.07421875,-0.095703125,1.001953125,0,0,0,-5.5,4.1,7
1402239032392,0,0,-0.24390243902439027,-0.076171875,-0.095703125,1.001953125,0,0,0,-5.5,4.1,7
1402239032403,0,-0.24390243902439027,-0.24390243902439027,-0.07421875,-0.095703125,1.001953125,0,0,0,-5.5,4.1,7
1402239032414,0,0,-0.24390243902439027,-0.07421875,-0.09375,1,0,0,0,-5.5,4.1,7
1402239032425,0,0,-0.24390243902439027,-0.076171875,-0.09375,1.001953125,0,0,0,-5.5,4.1,7
1402239032435,0,0,-0.24390243902439027,-0.07421875,-0.09375,1.00390625,0,0,0,-5.5,4.1,7
1402239032446,0,0,-0.24390243902439027,-0.07421875,-0.095703125,1.005859375,0,0,0,-5.5,4.1,7
1402239032456,0,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.095703125,1.00390625,0,0,0,-5.5,4.1,7
1402239032467,0,0,-0.24390243902439027,-0.07421875,-0.095703125,1.001953125,0,0,0,-5.5,4.1,7
