timestamp,gyroscopeX,gyroscopeY,gyroscopeZ,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,kinematicsX,kinematicsY,kinematicsZ,RC0,RC1,RC2,RC3,RC4,RC5,RC6,RC7,Motor0,Motor1,Motor2,Motor3,Motor4,Motor5,Motor6,Motor7
1402231261746,-0.24390243902439027,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.08984375,0.99609375,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261756,-0.24390243902439027,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.08984375,0.998046875,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261767,-0.24390243902439027,0,-0.24390243902439027,-0.076171875,-0.08984375,0.99609375,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261778,-0.24390243902439027,0,-0.24390243902439027,-0.076171875,-0.08984375,0.99609375,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261789,-0.24390243902439027,0,-0.24390243902439027,-0.076171875,-0.08984375,0.998046875,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261801,-0.24390243902439027,0,-0.24390243902439027,-0.076171875,-0.08984375,0.998046875,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261812,-0.24390243902439027,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.091796875,0.998046875,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261823,-0.24390243902439027,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.091796875,0.998046875,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261834,-0.24390243902439027,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.091796875,0.99609375,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261845,-0.24390243902439027,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.091796875,0.998046875,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261857,-0.24390243902439027,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.091796875,1,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261868,-0.24390243902439027,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.091796875,1,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261879,-0.24390243902439027,0,-0.24390243902439027,-0.078125,-0.091796875,0.998046875,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261890,-0.24390243902439027,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.08984375,0.998046875,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261901,-0.24390243902439027,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.08984375,0.998046875,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261912,-0.24390243902439027,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.08984375,0.99609375,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261924,-0.24390243902439027,0,-0.24390243902439027,-0.078125,-0.08984375,0.99609375,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261935,-0.24390243902439027,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.091796875,0.998046875,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261946,-0.24390243902439027,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.091796875,0.998046875,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261958,-0.24390243902439027,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.08984375,0.998046875,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261969,-0.24390243902439027,0,-0.24390243902439027,-0.07421875,-0.091796875,0.99609375,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261982,-0.24390243902439027,-0.24390243902439027,-0.24390243902439027,-0.07421875,-0.091796875,0.99609375,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231261995,-0.24390243902439027,-0.24390243902439027,-0.24390243902439027,-0.07421875,-0.091796875,0.99609375,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231262005,-0.24390243902439027,0,-0.24390243902439027,-0.076171875,-0.091796875,0.99609375,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231262016,-0.24390243902439027,0,-0.24390243902439027,-0.076171875,-0.091796875,0.99609375,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231262026,-0.24390243902439027,0,-0.24390243902439027,-0.078125,-0.091796875,0.994140625,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231262037,-0.24390243902439027,0,-0.24390243902439027,-0.076171875,-0.09375,1,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231262048,-0.24390243902439027,0,-0.24390243902439027,-0.076171875,-0.09375,1,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231262059,-0.24390243902439027,0,-0.24390243902439027,-0.076171875,-0.091796875,1,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231262071,-0.24390243902439027,0,-0.24390243902439027,-0.076171875,-0.091796875,1,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231262082,-0.24390243902439027,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.08984375,0.998046875,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
1402231262093,-0.24390243902439027,-0.24390243902439027,-0.24390243902439027,-0.076171875,-0.08984375,0.998046875,0,0,0,-5.6,4.1,61,1518,1518,1518,1518,1518,1518,1518,1518,1000,1000,1000,1000,0,0,0,0
